Blog	propagation	discovery	detected	urban	safety	home	extended	every	least	planning	dimensions	trained	topology	baseline	detecting	functional	sensitivity	region	dynamically	consistent	rich	mainly	once	assumptions	having	regarding	learned	likely	contains	daily	massive	ubiquitous	representations	links	predict	paths	finding	potentially	bounded	tree	substantial	choice	realistic	visualization	conduct	matching	reference	retrieval	maximum	larger	powerful	vision	caused	neural	why	question	papers	rapidly	primary	leverages	balance	overhead	vector	loss	entire	helps	scientific	list	combining	final	scales	showing	infrastructures	numerous	implement	difference	text	practices	collaborative	th	contribution	concepts	combined	historical	streaming	basis	live	close	extend	reveals	bandwidth	characterize	contribute	position	commercial	tags	contrast	views	update	meet	product	codes	adapt	define	utilized	sample	providers	his	communities	server	adaptation	concurrent	down	numerical	production	largely	policies	reality	society	established	editors	decisions	game	comes	flexibility	avoid	enhancement	highest	feasibility	m	measured	unfortunately	maps	deliver	inherent	forward	pervasive	year	received	external	developers	identifying	inspired	quantitative	creation	derived	event	decades	bayesian	positive	units	performing	chain	layer	analyzed	relatively	sense	elements	students	wearable	guide	audio	consequently	protocols	department
IEEE Transactions on Computers	1	1	0	2	3	0	3	4	2	0	1	0	5	2	0	3	0	7	10	1	0	2	3	1	2	0	1	1	2	1	1	1	1	7	5	5	2	0	6	4	2	0	0	0	1	3	0	0	6	3	2	1	3	3	0	0	1	0	4	2	2	27	1	3	5	0	0	0	1	4	1	1	0	1	10	3	6	0	0	0	2	0	6	0	1	2	0	1	2	1	16	2	1	0	3	3	0	0	13	4	9	2	2	2	4	0	0	0	0	12	2	5	2	2	1	0	5	0	0	3	0	0	0	2	2	6	3	2	3	13	1	3	1	1	4	3	1	0	0	1	0	1	1	0	1	2	1	0	2	1	2	2	2	16	3	1	0	2	0	2	2	3	3	10	0
IEEE Transactions on Dependable and Secure Computing	1	1	3	0	16	3	2	4	1	0	0	2	0	0	7	1	0	1	6	5	1	2	1	2	0	0	0	5	1	0	1	0	1	2	1	1	1	4	2	5	2	2	3	0	2	4	1	1	1	1	3	0	2	0	0	1	0	0	2	2	1	15	6	1	3	1	0	4	0	0	1	4	4	3	5	2	1	0	0	2	4	0	0	3	2	4	0	5	1	1	3	2	0	2	1	8	4	0	6	4	2	2	3	5	1	2	4	1	2	5	1	1	2	1	0	0	15	0	2	1	2	0	4	1	4	5	3	1	8	1	2	3	0	1	0	2	1	0	5	0	1	3	0	0	3	1	6	0	3	3	2	2	2	4	4	4	4	1	0	0	0	0	1	18	0
IEEE Transactions on Visualization & Computer Graphics	4	2	4	7	1	0	3	1	3	5	3	4	5	1	0	1	3	6	1	4	2	1	1	2	1	2	2	0	0	0	1	0	9	0	1	8	3	3	0	4	2	0	7	64	1	9	11	0	0	4	0	5	2	2	0	2	2	1	3	1	4	0	6	0	3	0	8	1	0	2	1	3	0	1	0	1	5	0	1	0	3	1	2	0	0	2	2	2	7	0	1	0	3	3	2	0	1	6	0	0	1	0	4	1	0	2	0	2	0	0	0	0	1	3	3	0	0	37	0	4	2	0	1	2	2	5	2	4	1	0	0	3	10	0	3	0	6	0	1	1	2	2	1	5	2	1	3	2	1	1	0	4	0	0	6	1	4	6	0	2	11	0	2	1	0
IEEE Cloud Computing	0	0	0	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	3	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	1	1	0	0	1	1	0	1	0	0	0	1	5	1	1	0	0	1	1	0	0	2	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	6	0	0	1	0	2	0	1	0	1	1	0	4	0	0	3	1	3	1	1	0	0	0	0	0	0	0	2	1	0	0	4	0	4	2	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	2	0	1	0	0	0	2	0
Computer	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	0	0	0	0	2	0	0	1	0	0	2	0	2	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	8	0	1	3	0	0	0
Computing in Science & Engineering	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	2	2	0	0	0	1	0	1	1	0	0	0	1	0	7	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	11	0	1	1	0	0	2	0	0	1	0	5	1	1	0	1	0	2	4	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	1	0	4	0	3	0	0	0	0	0	0	0	0	2	2	5	1	0	0	0	0	0	0	2	0	3	0	1	1	2	2	1	1	0	0	1	0	1	1	0	0	2	2	0	0	1	1	0	2	0	2	2	1	14	4	0	0	1	1	3
IEEE Annals of the History of Computing	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	1	1	0	3	1	2	0	9	0	0	0	0	0	3	0	0	0	2	1	0	0	1	0	0	1	1	1	1	0	0	0	12	1	0	0	0	1	1	0	3	0	1	3	3	1	1	0	4	0	1	0	0	0	0	0	0	5	0	0	0	1	1	2	0	1	0	0	0	2	1	0	3	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	4
IEEE Distributed Systems Online	0	5	0	2	2	3	0	0	0	0	0	0	1	0	0	0	0	0	1	1	4	0	5	0	0	0	1	0	0	0	1	5	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	4	4	0	1	0	1	0	1	0	0	4	0	0	0	0	0	2	4	1	1	2	3	4	4	0	1	0	0	0	0	0	0	0	0	5	1	0	0	3	0	0	1	1	2	0	0	0	0	0	0	2	0	4	4	4	3	1	0	1	0	6	2	1	1	1	0	0	0	0	0	0	0	1	2	1	3	1	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	22	0	3	0	3	3	5
IEEE Internet Computing	0	1	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	3	0	1	0	3	2	1	1	0	0	1	2	0	0	2	0	2	0	0	1	0	1	0	2	0	0	0	0	2	0	3	0	0	0	0	2	1	1	2	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	1	0	0	0	0	3	1	1	0	3	0	0	1	1	0	3	0	2	0	2	0	0	0	0	1	1	0	3	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	2	0
IEEE MultiMedia	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	3	0	2	2	0	1	1	0	2	2	0	1	0	0	1	0	0	0	2	2	2	1	1	2	12	0	0	0	7	0	3	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	2	1	0	3	1	5	2	1	1	1	0	3	1	3	1	0	0	2	0	0	0	0	9	0	0	0	0	4	4	1	1	1	2	0	0	1	1	2	0	0	0	4	4	0	5	2	0	1	0	0	1	0	0	2	0	0	0	1	0	1	1	1	0	0	2	1	1	0	2	5	5	0	1	2	1	0	4	0	2	0	1	0	1	3	3	1	2	1	7	0	0	2
IEEE Pervasive Computing	2	0	0	8	0	7	0	1	0	1	1	0	0	0	0	0	0	2	0	1	5	0	0	1	1	1	0	0	0	2	1	6	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	8	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	2	0	0	1	1	2	1	0	0	4	0	2	0	3	0	0	0	0	1	0	1	0	0	0	1	0	1	2	1	3	0	0	1	0	1	1	0	0	1	0	3	0	1	0	1	0	0	1	0	2	0	0	2	1	2	1	0	1	0	0	4	1	0	0	0	2	1	0	52	1	0	0	1	0	0	0	4	0	1	1	0	2	0	0	0	0	0	0	3	1	1	3	0	3	1	0	7
IEEE Security & Privacy	0	1	0	0	0	3	0	1	1	0	0	0	0	0	1	1	2	0	0	0	0	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	3	0	3	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	2
IEEE Software	0	0	0	0	20	0	0	0	0	2	0	0	0	0	3	1	0	0	1	1	0	0	0	0	1	1	1	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	4	0	3	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	1	1	1	1	0	9	1	5	1	1	0	1	0	3	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	2	2	0	1	17	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0	2	4	1	0	3
IT Professional	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	1	0	3	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	4	1	0	3	2	0	2	0	0	0	0	1	2	0	1	9	0	0	0	1	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	0	2	2	1	0	1	1	2
