Entry	is	we	on	that
Query Expansion with Enriched User Profiles for Personalized Search Utilizing Folksonomy Data	0	2	3	2
Collaboratively Training Sentiment Classifiers for Multiple Domains	3	5	3	1
Crowdsourced Coverage as a Service: Two-Level Composition of Sensor Cloud Services	4	2	4	2
Personal Web Revisitation by Context and Content Keywords with Relevance Feedback	3	0	1	1
Local Suppression and Splitting Techniques for Privacy Preserving Publication of Trajectories	0	4	1	3
Energy-Efficient Query Processing in Web Search Engines	0	2	2	2
Sparse Poisson Latent Block Model for Document Clustering	4	1	3	1
Enhancing Binary Classification by Modeling Uncertain Boundary in Three-Way Decisions	3	0	3	1
Engagement and Popularity Dynamics of YouTube Videos and Sensitivity to Meta-Data	3	2	1	3
Human-Powered Data Cleaning for Probabilistic Reachability Queries on Uncertain Graphs	4	4	1	5
Profiling Entities over Time in the Presence of Unreliable Sources	2	2	1	3
On Spectral Analysis of Signed and Dispute Graphs: Application to Community Structure	1	4	6	1
Discovering Newsworthy Themes from Sequenced Data: A Step Towards Computational Journalism	1	4	1	1
Online Transfer Learning with Multiple Homogeneous or Heterogeneous Sources	2	4	1	1
Searching Trajectories by Regions of Interest	4	1	2	2
A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud	3	2	8	1
R<sc>a</sc>P<sc>are</sc>: A Generic Strategy for Cold-Start Rating Prediction Problem	3	3	3	2
Probase+: Inferring Missing Links in Conceptual Taxonomies	0	4	2	3
Keyword Search over Distributed Graphs with Compressed Signature	0	6	0	4
Online Multi-Task Learning Framework for Ensemble Forecasting	8	2	1	2
Multi-Behavioral Sequential Prediction with Recurrent Log-Bilinear Model	2	2	2	1
SAP: Improving Continuous Top-K Queries Over Streaming Data	2	3	3	1
Modeling the Evolution of Users¡¯ Preferences and Social Links in Social Networking Services	2	4	1	2
Efficient Top-k Dominating Computation on Massive Data	4	0	3	3
Modeling and Learning Distributed Word Representation with Metadata for Question Retrieval	2	3	4	3
Search Rank Fraud and Malware Detection in Google Play	0	2	1	4
A Unified Framework for Metric Transfer Learning	1	3	4	1
Analyzing Sentiments in One Go: A Supervised Joint Topic Modeling Approach	0	4	3	2
Data-Driven Answer Selection in Community QA Systems	1	6	1	0
User Vitality Ranking and Prediction in Social Networking Services: A Dynamic Network Perspective	5	6	3	1
A Web Services Discovery Approach Based on Mining Underlying Interface Semantics	1	5	3	2
Spectral Ensemble Clustering via Weighted K-Means: Theoretical and Practical Evidence	2	5	2	1
Multimodal KB Harvesting for Emerging Spatial Entities	1	4	2	0
Efficient Algorithms for the Identification of Top-$k$ Structural Hole Spanners in Large Social Networks	0	4	2	3
A Systematic Approach to Clustering Whole Trajectories of Mobile Objects in Road Networks	0	4	2	3
Dynamic Facet Ordering for Faceted Product Search Engines	2	1	2	4
Learning on Big Graph: Label Inference and Regularization with Anchor Hierarchy	2	3	4	2
Efficient Processing of Skyline Queries Using MapReduce	2	8	2	0
Knowledge Base Semantic Integration Using Crowdsourcing	3	6	1	1
An Efficient Indexing Method for Skyline Computations with Partially Ordered Domains	4	2	1	4
Continuous Top-k Monitoring on Document Streams	1	0	1	2
Evolutionary Nonnegative Matrix Factorization Algorithms for Community Detection in Dynamic Networks	4	4	1	2
Feature Constrained Multi-Task Learning Models for Spatiotemporal Event Forecasting	1	1	2	2
Bag-of-Discriminative-Words (BoDW) Representation via Topic Modeling	3	0	2	3
Malevolent Activity Detection with Hypergraph-Based Models	1	4	1	3
Bridging Feature Selection and Extraction: Compound Feature Generation	4	1	1	1
Using Geodesic Space Density Gradients for Network Community Detection	4	3	2	2
gMark: Schema-Driven Generation of Graphs and Queries	2	2	0	1
Efficient Sub-Window Nearest Neighbor Search on Matrix	1	5	4	2
SSE: Semantically Smooth Embedding for Knowledge Graphs	2	2	4	1
A Novel Cost-Based Model for Data Repairing	2	6	2	6
Trajectory Community Discovery and Recommendation by Multi-Source Diffusion Modeling	2	4	6	0
A Generic Method for Accelerating LSH-Based Similarity Join Processing	1	4	0	2
Comparative Relation Generative Model	5	3	3	2
Enabling Kernel-Based Attribute-Aware Matrix Factorization for Rating Prediction	1	3	0	1
Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks	5	2	1	3
FORWARD: A Model for FOrecasting Reservoir WAteR Dynamics Using Spatial Bayesian Network (SpaBN)	3	0	4	2
Feature Selection by Maximizing Independent Classification Information	4	0	1	1
Signature-Based Trajectory Similarity Join	2	4	4	2
Advanced Block Nested Loop Join for Extending SSD Lifetime	3	2	2	4
Uncertainty Quantification in Mathematics-Embedded Ontologies Using Stochastic Reduced Order Model	3	0	1	0
Efficient Metric Indexing for Similarity Search and Similarity Joins	1	2	2	1
Enumeration of Maximal Cliques from an Uncertain Graph	1	4	1	0
Network Motif Discovery: A GPU Approach	4	3	3	3
Understand Short Texts by Harvesting and Analyzing Semantic Knowledge	3	4	2	3
Bump Hunting in the Dark: Local Discrepancy Maximization on Graphs	2	7	4	3
Influence Maximization in Trajectory Databases	3	8	0	4
KDE-Track: An Efficient Dynamic Density Estimator for Data Streams	4	2	2	2
A Novel and Fast SimRank Algorithm	3	3	2	2
Scalable Iterative Classification for Sanitizing Large-Scale Datasets	3	3	1	4
Reachability Querying: Can It Be Even Faster?	2	5	0	2
Metric Similarity Joins Using MapReduce	1	3	0	2
A Proactive Workflow Model for Healthcare Operation and Management	1	7	0	2
Probabilistic Keys	1	1	0	1
Enhancing Team Composition in Professional Networks: Problem Definitions and Fast Solutions	0	4	4	0
Efficient Distance-Aware Influence Maximization in Geo-Social Networks	3	4	1	1
New EIC Editorial	0	0	0	0
Special Section on the International Conference on Data Engineering 2015	0	0	2	0
Unsupervised Visual Hashing with Semantic Assistant for Content-Based Image Retrieval	2	1	2	1
Stochastic Gradient Made Stable: A Manifold Propagation Approach for Large-Scale Optimization	4	1	3	1
Filtering Out Infrequent Behavior from Business Process Event Logs	6	0	0	5
Efficient Pattern-Based Aggregation on Sequence Data	7	0	4	3
Semantic Bootstrapping: A Theoretical Perspective	5	2	5	4
Causal Decision Trees	4	1	0	1
Query Reorganization Algorithms for Efficient Boolean Information Filtering	3	3	2	7
An Architecture Combining IMS-LD and Web Services for Flexible Data-Transfer in CSCL	1	1	2	2
Integrating Model-Driven and Data-Driven Techniques for Analyzing Learning Behaviors in Open-Ended Learning Environments	0	3	1	2
Adaptive Social Learning Based on Crowdsourcing	0	5	2	7
Learning How to Construct Models of Dynamic Systems: An Initial Evaluation of the Dragoon Intelligent Tutoring System	2	0	1	1
CMX: The Effects of an Educational MMORPG on Learning and Teaching Computer Programming	2	1	5	8
Specialized Intervention Using Tablet Devices for Communication Deficits in Children with Autism Spectrum Disorders	3	0	1	1
Automatic Chinese Factual Question Generation	3	0	2	2
A Fuzzy Group Decision Making Model for Ordinal Peer Assessment	4	1	2	0
Investigating the Impact of Gaming Habits, Gender, and Age on the Effectiveness of an Educational Video Game: An Exploratory Study	0	1	5	3
Cognitive Diffusion Model: Facilitating EFL Learning in an Authentic Environment	3	3	5	3
Editorial: A Message from the Editorial Team and an Introduction to the April-June 2017 issue	0	0	0	0
Constructing a User-Friendly and Smart Ubiquitous Personalized Learning Environment by Using a Context-Aware Mechanism	1	0	0	3
Contextual Markup and Mining in Digital Games for Science Learning: Connecting Player Behaviors to Learning Goals	0	1	2	3
Perceiving Learning at a Glance: A Systematic Literature Review of Learning Dashboard Research	3	0	2	1
Privacy-Preserving Learning Analytics: Challenges and Techniques	2	2	3	2
Predicting Student Performance from LMS Data: A Comparison of 17 Blended Courses Using Moodle LMS	1	5	0	4
Widget, Widget on the Wall, Am I Performing Well at All?	1	4	7	2
A Novel Web-Based Approach for Visualization and Inspection of Reading Difficulties on University Students	2	1	2	4
Combining University Student Self-Regulated Learning Indicators and Engagement with Online Learning Events to Predict Academic Performance	3	1	0	2
Towards Actionable Learning Analytics Using Dispositions	0	1	1	0
2016 Index IEEE Transactions on Learning Technologies Vol. 9	0	0	1	0
Editorial: A Message from the Editorial Team and an Introduction to the January-March 2017 Issue	0	0	0	0
Guest Editorial: Special Section on Learning Analytics	0	0	1	0
gPhysics¡ªUsing Smart Glasses for Head-Centered, Context-Aware Learning in Physics Experiments	5	4	7	1
Enhancing Physical Education with Exergames and Wearable Technology	1	5	2	3
Introducing IoT and Wearable Technologies into Task-Based Language Learning for Young Children	2	2	1	2
A Methodology to Obtain Learning Effective Laboratories with Learning Management System Integration	4	0	1	5
Appropriating Quantified Self Technologies to Support Elementary Statistical Teaching and Learning	1	3	1	5
Representing and Reconciling Personal Data and Experience in a Wearable Technology Gaming Project	2	3	2	3
Knowledge Construction in Computer Science and Engineering when Learning Through Making	2	0	2	0
Can You Help Me with My Pitch? Studying a Tool for Real-Time Automated Feedback	0	2	2	1
EIC Editorial	0	0	0	0
Guest Editorial: Special Section on Learning through Wearable Technologies and the Internet of Things	0	0	1	0
Analyzing the Impact of Using Optional Activities in Self-Regulated Learning	1	4	0	5
Agent Supported Serious Game Environment	1	0	2	1
Designing a Secure Exam Management System (SEMS) for M-Learning Environments	1	0	0	2
Early Prediction of Student Profiles Based on Performance and Gaming Preferences	0	6	2	3
Supporting Semantic Annotation of Educational Content by Automatic Extraction of Hierarchical Domain Relationships	6	2	1	3
BH-ShaDe: A Software Tool that Assists Architecture Students in the Ill-Structured Task of Housing Design	0	2	1	4
A Debate and Decision-Making Tool for Enhanced Learning	0	1	0	2
Editorial: A Message from the Editorial Team and an Introduction to the July-September 2016 Issue	0	0	0	0
An Approach Based on Social Network Analysis Applied to a Collaborative Learning Experience	1	1	3	1
Don't Be a Stranger-Designing a Digital Intercultural Sensitivity Training Tool that is Culture General	2	4	3	4
VirTUal remoTe labORatories Management System (TUTORES): Using Cloud Computing to Acquire University Practical Skills	5	4	5	1
Novel Approach to Facilitating Tradeoff Multi-Objective Grouping Optimization	4	0	4	0
Item Response Theory for Peer Assessment	0	0	3	4
Creating Engaging Online Learning Material with the JSAV JavaScript Algorithm Visualization Library	1	2	2	2
<italic>ToothPIC</italic>: An Interactive Application for Teaching Oral Anatomy	1	0	0	3
An Investigation of a Two-Tier Test Strategy in a University Calculus Course: Causes versus Consequences	0	1	1	0
A Contextualized System for Supporting Active Learning	2	1	2	1
In Memoriam: Erik Duval 1965-2016	0	0	0	0
In Memoriam: Martin Wolpers, PhD 1969-2016	0	0	0	0
Editorial: A Message from the Editorial Team and an Introduction to the April-June 2016 Issue	0	0	0	0
Virtual Engineering Sciences Learning Lab: Giving STEM Education a Second Life	2	1	0	4
Learning Object Recommendations for Teachers Based On Elicited ICT Competence Profiles	0	0	4	1
Reducing Mistakes in Mathematics Problem Solving through Behavioral Training with a Tablet Computer	0	4	5	4
Low Cost Ubiquitous Context-Aware Wireless Communications Laboratory for Undergraduate Students	2	0	1	2
Development and Evaluation of an Active Learning Support System for Context-Aware Ubiquitous Learning	4	0	0	2
Investigating Engagement with In-Video Quiz Questions in a Programming Course	0	6	0	3
Support for Augmented Reality Simulation Systems: The Effects of Scaffolding on Learning Outcomes and Behavior Patterns	1	0	4	4
Flipping the Flipped Classroom: A Study of the Effectiveness of Video Lectures Versus Constructivist Exploration Using Tangible User Interfaces	0	7	3	6
2015 Index IEEE Transactions on Learning Technologies Vol. 8	1	0	1	3
2015 Reviewers List&#x002A;	0	0	0	0
Editorial: A Message from the Editorial Team and an Introduction to the January-March 2016 Issue	0	0	0	0
EJS, JIL Server, and LabVIEW: An Architecture for Rapid Development of Remote Labs	3	0	1	3
Characterizing Learning Mediated by Mobile Technologies: A Cultural-Historical Activity Theoretical Analysis	1	1	2	0
Impact on Student Motivation by Using a QR-Based U-Learning Material Production System to Create Authentic Learning Experiences	2	3	1	8
A Hybrid Trust-Based Recommender System for Online Communities of Practice	1	0	0	0
Teaching Cybersecurity Using the Cloud	0	5	4	1
Evaluating Recommender Systems for Technology Enhanced Learning: A Quantitative Survey	2	0	1	2
Editorial: A Message from the Editorial Team and an Introduction to the October-December 2015 Issue	0	0	0	0
Creating Usage Context-Based Object Similarities to Boost Recommender Systems in Technology Enhanced Learning	0	2	3	0
LaboREM&#x2014;A Remote Laboratory for Game-Like Training in Electronics	1	0	2	3
A Flexible and Configurable Architecture for Automatic Control Remote Laboratories	2	5	3	0
Implementation and Evaluation of Digital E-Lecture Annotation in Learning Groups to Foster Active Learning	0	2	0	2
Uncertainty Representation in Visualizations of Learning Analytics for Learners: Current Approaches and Opportunities	2	3	1	4
Increasing Students&#x2019; Awareness of Their Behavior in Online Learning Environments with Visualizations and Achievement Badges	1	4	3	5
Editorial: A Message from the Editorial Team and an Introduction to the July-September 2015 Issue	0	0	0	0
A Web-Based Visualization and Animation Platform for Digital Logic Design	1	0	4	1
Constructing Interpretative Views of Learners&#x2019; Interaction Behavior in an Open Learner Model	1	5	0	2
MTFeedback: Providing Notifications to Enhance Teacher Awareness of Small Group Work in the Classroom	0	5	3	5
A Self-Adaptive Multi-Agent System Approach for Collaborative Mobile Learning	1	1	2	1
Dynamic Group Formation as an Approach to Collaborative Learning Support	2	1	2	1
Measuring and Visualizing Students&#x2019; Behavioral Engagement in Writing Activities	1	1	3	2
Welcome to the April-June 2015 Issue of the <italic>IEEE Transactions on Learning Technologies</italic> (<italic>TLT</italic>)	0	0	1	0
Employing the TPACK Framework for Researcher-Teacher Co-Design of a Mobile-Assisted Seamless Language Learning Environment	6	1	0	1
Four Stages of Research on the Educational Use of Ubiquitous Computing	3	0	3	1
A Tailorable Infrastructure to Enhance Mobile Seamless Learning	2	4	0	2
Harnessing Technology for Promoting Undergraduate Art Education: A Novel Model that Streamlines Learning between Classroom, Museum, and Home	0	2	1	3
Supporting Teacher Orchestration in Ubiquitous Learning Environments: A Study in Primary Education	0	0	1	1
Individualization for Education at Scale: MIIC Design and Preliminary Evaluation	1	3	0	3
